index,title,view_count,like_count,comment_count
ftQZo7XaTOA,최신 파이썬 코딩 무료 강의 | 2024 점프 투 파이썬 통합본,570484,11239,462
8lCfkW_dIY4,"파이썬 독학, 제발 설치부터 하지 마세요. (서울대 교수 무료 강의) (1/38)",5477,60,9
yytWGELNeOI,파이썬 무료 기초 강의 - 1강 파이썬이란 무엇인가?,832322,10586,782
x1VFfTz30VE,파이썬 당신이 지금 당장 배워야하는 이유 (파이썬 기초),8639,123,11
T6z-0dpXPvU,파이썬 무료 강의 100분 완성 (1분 파이썬 모음),765728,13599,450
jrHwm-gNg5Y,코딩 왕초보 탈출 무료 강의 Python 기초 1강 ( by 서울대 교수 ),17350,414,25
kWiCuklohdY,파이썬 코딩 무료 강의 (기본편) - 6시간 뒤면 여러분도 개발자가 될 수 있어요 [나도코딩],5837398,111691,13768
MeQBuFwdIio,고수들 github에 나오는 건방진 문법 #python,275388,1977,180
Dkx8Pl6QKW0,파이썬 코딩 무료 강의 (활용편1) - 추억의 오락실 게임을 만들어 보아요. 3시간이면 충분합니다. [나도코딩],3030306,20138,2815
K5KVEU3aaeQ,Python Full Course for Beginners,6297245,146527,3837
2FBX-JcZ2ks,"파이썬 코딩 기초 강좌 - 파이썬 프로그래밍의 기초, 자료형(2)",143782,2040,250
WCM65ION4nE,Python Syllabus | Python for Beginners | Complete Python Course #pythonlearning,1038679,10022,14
q2-pnQffZik,Learn Python for FREE in 2025,1102548,27682,213
W-8j4MrsX2s,Amazing Flower Design using Python turtle 🐢 #python #coding #funny #viral #trending #design,1612038,58566,415
80yIVH2aOy0,python programming|python for beginners|python full course,1297401,21481,196
nluUYtejoIE,Python Basics: Your FIRST Program in Under a Minute! 🚀,1209045,16214,130
tSZc6Mvqt78,Why This Turtle Graphics Python Tutorial is Worth Your Time,109572,1433,24
fXxUYb0s-pc,Impress your crush using Python Code ❤️,2551416,40100,515
59JGaJElY8Y,개발자가 보는 프로그래밍 언어좀 해봤다 하는 일반인,1041812,10786,1096
_uQrJ0TkZlc,Python Full Course for Beginners,47712754,1248949,62305
IfKlGhRc7Dc,"Python Roadmap for Beginners! 🐍 Learn Python Programming Step-by-Step"" #python #conding",2843748,36074,108
Ro_MScTDfU4,Learn Python in Only 30 Minutes (Beginner Tutorial),758598,23091,434
EmxXYzX6iEs,How to visualize data with Python in Excel. 🤯 #excel  #python #tutorial,101685,1819,13
GfWRxr1OBm4,Python Basics: The Best Way to Learn Python Programming (2024),2362925,31438,272
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,24254458,551747,27615
ix9cRaBkVe0,Python Full Course for free 🐍,9805503,304478,18686
Mf9GCn_LsUI,Junior vs senior python developer 🐍 | #python #coding #programming #shorts  @Codingknowledge-yt,2605780,42484,895
gbYLsUngzLc,Top 10 Most Important Python Functions You Must Know! 🚀 | Python Tutorial for Beginners,229341,2492,12
mC4nyib2sfg,How I Would Learn Python FAST (if I could start over),447524,22295,303
LRhOzoxHlJo,Python AI And Generative AI Course For Beginners #ai #python #tutorial #course #study #learning,354376,10792,32
UByzZYqOHPY,Python pygame Tutorial #python #pygame #coding #programming,432040,2772,38
iJ9HRfdUjdk,🎯Top 5 YouTube Channels for Python Programming | Python for Beginners✅ #shorts #sunstone #python,308678,2396,764
c0MNpou4zOA,How to create a virus using python🦠,1511057,23126,629
dZ8VrmzYL2A,Pygame - Display Image in Pygame python || Pygame python tutorial #python #pygame,1162674,14216,88
Wghz6w0btxI,Python Programming - A Full Course for Beginners (Learn Python in 2025!),128955,1421,19
b093aqAZiPU,👩‍💻 Python for Beginners Tutorial,4444841,96524,3302
IR2D0rrF2ow,Python in Excel‼️ #excel #python,745279,14648,47
rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],48740816,1116966,46107
5EnpNI2iCZA,Apprendre Python en 1 heure - Cours Complet Débutant (4K),520100,15423,467
ZDa-Z5JzLYM,Python OOP Tutorial 1: Classes and Instances,4945297,125695,3903
fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast & Easy),1417118,32573,803
Ht_LdGroNZE,LEVEL UP Your Python Game!! #python #coding #programming,1567367,84074,770
AQJbHAeUhzM,How to MASTER Python for FREE,624532,36438,205
IzEZseaUXJs,자기 자신을 그리는 그래프 #수학 #그래프 #파이썬,201904,5633,141
n-Rf3EJ_WaU,What Are Python DECORATORS?? #python #programming #coding,1965284,98901,602
iju6xKZacGQ,I Create Excel file in 5sec using Python || python excel || python pandas || python to excel #python,1452704,18497,199
uWEIaF0PNGg,Python OPTIMIZATION Trick!!  #python #programming #coding,2285486,116844,1888
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],6741527,169495,4055
AaWaE2CEUF0,Python WEB SCRAPING in 30 Seconds! 🔥👨‍💻 #shorts,567889,13672,148
5B41CPvYMjY,The Ultimate Python Roadmap: From Beginner to Expert in 2025!,1306034,21047,106
