도서명,평점,가격
51.77,Three,A Light in the Attic
One,Tipping the Velvet,53.74
One,50.10,Soumission
47.82,Sharp Objects,Four
Sapiens: A Brief History of Humankind,Five,54.23
One,22.65,The Requiem Red
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,17.93
Four,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60
The Black Maria,One,52.15
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
Shakespeare's Sonnets,Four,20.66
17.46,Five,Set Me Free
52.29,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five
Rip it Up and Start Again,Five,35.02
Three,57.25,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
One,23.88,Olio
One,37.59,Mesaerion: The Best Science Fiction Stories 1800-1849
Libertarianism for Beginners,51.33,Two
It's Only the Himalayas,Two,45.17
